person_id,immigrant_status,age
68322327,UK-born,59
68327856,UK-born,38
68329807,UK-born,59
68329811,UK-born,58
68333207,UK-born,49
68333211,UK-born,53
68333215,missing,19
68336607,Migrant,60
68336611,Migrant,60
68336615,UK-born,37
68336623,UK-born,29
68338647,Migrant,50
68338651,UK-born,49
68338655,missing,17
68340007,UK-born,44
68340011,UK-born,43
68340075,UK-born,58
68340094,UK-born,33
68341371,UK-born,45
68344767,UK-born,57
68344771,missing,21
68347491,UK-born,62
68347503,UK-born,33
68348847,UK-born,62
68348851,UK-born,39
68351567,UK-born,52
68351571,UK-born,51
68351575,UK-born,21
68351579,missing,18
68352927,UK-born,43
68352931,UK-born,45
68354287,UK-born,61
68354291,UK-born,60
68354295,UK-born,32
68354299,UK-born,29
68356327,UK-born,51
68361767,UK-born,40
68361771,UK-born,50
68364487,UK-born,48
68364491,UK-born,51
68364495,missing,17
68378095,Migrant,56
68378099,Migrant,58
68378103,UK-born,46
68378107,Migrant,45
68378111,UK-born,30
68378115,UK-born,25
68378119,missing,17
68380982,UK-born,44
68382262,UK-born,32
68388287,UK-born,41
68388295,missing,17
68391015,UK-born,38
68412087,Migrant,59
68412091,UK-born,62
68412095,Migrant,26
68420255,UK-born,34
68427047,UK-born,59
68427055,missing,21
68427059,missing,19
68430451,UK-born,37
68431807,UK-born,59
68431811,UK-born,51
68435887,UK-born,50
68439285,UK-born,64
68439287,UK-born,54
68439289,UK-born,63
68439291,UK-born,56
68439299,missing,18
68444727,UK-born,38
68453567,Migrant,50
68453571,UK-born,46
68455611,UK-born,60
68469887,UK-born,58
68469891,UK-born,57
68474647,UK-born,51
68474655,UK-born,26
68479407,UK-born,60
68479411,UK-born,58
68479415,missing,18
68483582,UK-born,38
68486887,UK-born,37
68499807,UK-born,60
68501167,UK-born,63
68501171,UK-born,63
68503382,missing,30
68503384,missing,33
68506607,UK-born,50
68506611,UK-born,54
68506615,missing,18
68510015,UK-born,47
68511367,UK-born,63
68511371,UK-born,64
68511379,UK-born,30
68512727,UK-born,45
68512731,UK-born,44
68530407,UK-born,64
68530411,UK-born,33
68531091,UK-born,40
68535175,UK-born,41
68537402,UK-born,57
68537420,UK-born,33
68538656,UK-born,38
68539255,UK-born,34
68545367,UK-born,50
68546047,UK-born,52
68548087,UK-born,64
68548091,UK-born,58
68548095,UK-born,25
68548099,UK-born,25
68550127,UK-born,61
68559659,UK-born,25
68561007,UK-born,51
68561011,UK-born,51
68561015,UK-born,24
68561019,missing,20
68565087,Migrant,61
68565091,UK-born,56
68567809,UK-born,32
68569165,UK-born,60
68569169,UK-born,60
68569173,UK-born,34
68572579,UK-born,36
68573245,UK-born,60
68573249,UK-born,56
68573253,UK-born,35
68575973,UK-born,47
68575977,UK-born,46
68578689,UK-born,32
68595007,UK-born,52
68595019,UK-born,24
68595023,UK-born,22
68596367,Migrant,49
68596375,missing,19
68596379,missing,18
68598475,UK-born,61
68612687,UK-born,53
68615407,UK-born,56
68615411,UK-born,49
68622215,UK-born,43
68624247,UK-born,64
68624251,Migrant,48
68624255,UK-born,24
68624259,missing,21
68624927,UK-born,60
68624931,UK-born,57
68628333,UK-born,36
68629687,UK-born,44
68629691,UK-born,50
68632522,missing,16
68636487,UK-born,53
68636491,UK-born,55
68636495,UK-born,27
68637175,UK-born,64
68646096,UK-born,43
68652811,UK-born,63
68652896,UK-born,56
68656215,UK-born,39
68657575,UK-born,36
68659619,UK-born,37
68673207,UK-born,46
68680007,UK-born,52
68680015,UK-born,23
68680019,missing,20
68680144,missing,35
68690887,UK-born,45
68690891,UK-born,48
68690895,UK-born,24
68690899,missing,17
68693607,Migrant,58
68695647,UK-born,48
68695651,UK-born,46
68700544,missing,29
68700584,missing,29
68704487,UK-born,43
68704491,UK-born,26
68705847,UK-born,48
68705851,UK-born,49
68705855,UK-born,24
68705859,UK-born,21
68708567,UK-born,64
68713327,UK-born,61
68718091,UK-born,45
68721491,UK-born,59
68721499,UK-born,37
68728975,UK-born,37
68740527,UK-born,56
68740531,UK-born,54
68740535,UK-born,27
68740539,UK-born,24
68740595,UK-born,59
68740599,UK-born,57
68740603,UK-born,24
68740607,UK-born,21
68748132,missing,35
68754807,UK-born,44
68757527,UK-born,63
68757531,UK-born,55
68757535,UK-born,37
68759575,UK-born,38
68759579,UK-born,29
68773847,UK-born,60
68773851,UK-born,64
68773855,UK-born,31
68773863,missing,26
68775209,UK-born,45
68775213,UK-born,41
68784727,UK-born,50
68784731,UK-born,52
68785407,UK-born,37
68785411,UK-born,42
68788127,UK-born,64
68788898,missing,52
68794247,Migrant,57
68794255,UK-born,27
68794259,UK-born,25
68797647,UK-born,39
68797655,UK-born,40
68800367,Migrant,58
68800375,missing,22
68800379,missing,25
68805807,Migrant,43
68805811,Migrant,44
68808527,UK-born,60
68808531,Migrant,60
68808535,missing,18
68813967,UK-born,55
68813971,Migrant,64
68813975,UK-born,36
68813979,UK-born,25
68813983,UK-born,23
68813987,UK-born,22
68815327,Migrant,43
68815335,missing,19
68844577,missing,33
68847295,UK-born,59
68890133,UK-born,35
68890809,UK-born,60
68895567,UK-born,45
68895571,UK-born,47
68895575,missing,21
68895579,missing,17
68901687,Migrant,48
68901691,Migrant,53
68901695,UK-born,22
68901699,missing,20
68901703,missing,18
68903727,UK-born,61
68903731,UK-born,56
68903735,UK-born,26
68903739,UK-born,21
68903743,missing,19
68912579,UK-born,28
68924886,Migrant,43
68928211,Migrant,42
68928215,missing,19
68928219,missing,17
68932967,Migrant,50
68932971,Migrant,52
68933655,UK-born,35
68933659,missing,32
68933663,UK-born,30
68937047,Migrant,45
68939099,UK-born,32
68945887,UK-born,62
68945891,UK-born,34
68945895,missing,32
68945899,UK-born,62
68949295,UK-born,46
68960847,UK-born,61
68962887,UK-born,41
68963567,UK-born,54
68963571,UK-born,57
68963575,missing,21
68963579,missing,17
68964251,Migrant,64
68964259,UK-born,25
68964263,UK-born,25
68964927,UK-born,59
68964935,missing,32
68964939,UK-born,29
68970375,UK-born,28
68971731,UK-born,64
68992807,UK-born,60
68992811,UK-born,55
68992815,missing,19
68992904,missing,33
69007087,UK-born,51
69007091,UK-born,54
69007095,UK-born,27
69007099,missing,20
69032251,UK-born,63
69040602,missing,16
69047420,UK-born,29
69047887,UK-born,50
69049927,UK-born,61
69049931,UK-born,58
69049935,UK-born,35
69051287,UK-born,58
69051291,UK-born,24
69053327,UK-born,62
69053331,Migrant,61
69053335,UK-born,22
69062173,UK-born,33
69062855,UK-born,35
69062859,UK-born,33
69068967,UK-born,53
69070327,Migrant,35
69070331,Migrant,61
69070339,UK-born,29
69070343,UK-born,22
69070347,UK-born,33
69070351,Migrant,60
69070355,UK-born,27
69071007,UK-born,55
69071011,UK-born,55
69073055,UK-born,36
69074407,UK-born,61
69074411,UK-born,59
69074419,UK-born,25
69075087,UK-born,62
69075091,UK-born,51
69075095,UK-born,22
69075099,missing,19
69076447,Migrant,43
69076451,UK-born,44
69079847,UK-born,47
69080531,UK-born,62
69080535,UK-born,33
69081887,UK-born,39
69083247,UK-born,56
69083251,UK-born,53
69083255,UK-born,23
69083259,missing,20
69085295,UK-born,31
69085299,UK-born,28
69101607,UK-born,52
69101611,Migrant,48
69101615,missing,18
69101619,missing,17
69111127,UK-born,57
69111135,UK-born,24
69118607,UK-born,56
69118611,Migrant,53
69118615,missing,19
69119967,UK-born,55
69122162,missing,16
69126767,Migrant,55
69126771,Migrant,54
69131539,UK-born,32
69131543,UK-born,39
69132211,UK-born,64
69132215,UK-born,31
69132219,UK-born,30
69132223,UK-born,26
69134931,UK-born,62
69134935,UK-born,26
69134939,Migrant,23
69141047,UK-born,59
69142492,UK-born,60
69143087,UK-born,46
69143091,UK-born,45
69143767,UK-born,51
69146487,UK-born,58
69146491,UK-born,60
69146495,UK-born,25
69149207,UK-born,60
69165527,UK-born,58
69170285,UK-born,58
69173687,UK-born,61
69173691,UK-born,61
69177767,UK-born,48
69177771,UK-born,55
69177775,missing,18
69178445,UK-born,61
69179807,UK-born,64
69179823,UK-born,34
69180553,UK-born,44
69180621,UK-born,43
69183885,UK-born,56
69183889,Migrant,58
69183893,UK-born,28
69183897,UK-born,23
69211091,UK-born,43
69218567,UK-born,52
69221287,UK-born,50
69222647,UK-born,49
69222651,UK-born,50
69223331,UK-born,30
69224007,UK-born,48
69237684,Migrant,50
69238287,Migrant,49
69241007,UK-born,43
69241011,UK-born,42
69244522,missing,16
69245767,UK-born,62
69245771,UK-born,57
69251322,missing,16
69258250,UK-born,33
69262767,UK-born,57
69262771,UK-born,58
69262775,missing,23
69263447,UK-born,53
69263451,UK-born,21
69264127,UK-born,49
69264135,UK-born,27
69266847,UK-born,55
69266851,UK-born,46
69269567,UK-born,64
69269571,UK-born,64
69275687,Migrant,49
69275691,UK-born,50
69275695,missing,17
69294727,UK-born,48
69297455,UK-born,43
69298127,UK-born,47
69298135,missing,21
69298139,missing,18
69298900,UK-born,62
69299584,UK-born,24
69302207,UK-born,54
69302211,UK-born,54
69302215,missing,24
69302887,UK-born,48
69302891,UK-born,52
69303567,UK-born,59
69303571,UK-born,60
69303575,UK-born,29
69303579,missing,31
69305605,UK-born,54
69305609,UK-born,60
69305617,UK-born,29
69305621,UK-born,23
69306287,UK-born,63
69306291,UK-born,63
69309013,UK-born,40
69309687,UK-born,61
69309691,UK-born,60
69312407,UK-born,44
69313087,UK-born,62
69325327,UK-born,60
69325331,UK-born,58
69325335,UK-born,23
69325339,UK-born,22
69337567,UK-born,57
69337571,UK-born,56
69337575,missing,18
69338929,UK-born,61
69345047,UK-born,50
69345051,UK-born,50
69345055,missing,19
69345059,missing,17
69349125,UK-born,59
69349129,UK-born,63
69375647,UK-born,49
69375651,UK-born,24
69375655,missing,20
69387286,UK-born,27
69391287,UK-born,46
69391291,Migrant,48
69391295,missing,19
69391299,missing,18
69398085,UK-born,64
69406247,UK-born,37
69426647,Migrant,64
69426651,Migrant,58
69426663,UK-born,32
69427327,UK-born,48
69427331,Migrant,49
69427335,UK-born,27
69427339,UK-born,25
69427343,missing,20
69431407,UK-born,48
69431411,Migrant,46
69431415,UK-born,23
69431419,UK-born,22
69436845,UK-born,59
69436913,UK-born,37
69436917,missing,17
69440927,Migrant,64
69440935,UK-born,33
69440939,missing,32
69440943,UK-born,30
69440947,UK-born,29
69440951,UK-born,25
69449769,UK-born,64
69449777,missing,33
69451127,UK-born,46
69451131,Migrant,42
69451135,missing,20
69451139,missing,17
69544285,UK-born,60
69544289,UK-born,59
69544293,UK-born,26
69544297,UK-born,24
69559927,UK-born,63
69559935,missing,18
69564007,UK-born,45
69564011,UK-born,45
69564088,UK-born,43
69564098,UK-born,34
69585767,UK-born,52
69585771,UK-born,53
69591362,missing,16
69600725,UK-born,56
69603445,UK-born,58
69618500,UK-born,56
69622485,UK-born,54
69622489,UK-born,24
69625205,UK-born,55
69625213,UK-born,27
69625217,UK-born,22
69625885,UK-born,60
69625889,UK-born,57
69625893,UK-born,27
69625897,UK-born,25
69625901,UK-born,21
69628607,Migrant,44
69628611,UK-born,49
69631325,UK-born,60
69632104,UK-born,61
69646285,UK-born,58
69646289,UK-born,57
69646293,UK-born,25
69664647,Migrant,53
69664651,Migrant,44
69667365,UK-born,57
69667369,UK-born,55
69667373,UK-born,23
69667377,UK-born,21
69701367,UK-born,61
69706129,UK-born,62
69706133,UK-born,25
69706137,missing,22
69720532,UK-born,45
69727885,UK-born,57
69727889,UK-born,59
69727893,UK-born,26
69727897,missing,20
69734699,UK-born,34
69734703,UK-born,31
69734707,UK-born,29
69758485,UK-born,54
69758493,UK-born,29
69786365,UK-born,52
69786369,UK-born,23
69802082,Migrant,41
69808894,Migrant,40
69815605,UK-born,51
69815609,UK-born,58
69816289,UK-born,34
69822646,UK-born,43
69827845,UK-born,59
69827853,UK-born,27
69831245,UK-born,53
69831249,UK-born,57
69831253,UK-born,37
69833289,UK-born,64
69833293,UK-born,27
69833295,Migrant,45
69833297,UK-born,25
69833303,Migrant,40
69833973,UK-born,52
69833977,UK-born,43
69843018,UK-born,31
69848927,Migrant,48
69848935,Migrant,22
69848939,missing,20
69848943,missing,19
69853007,Migrant,56
69853023,UK-born,30
69853685,UK-born,57
69853689,UK-born,32
69854367,UK-born,43
69865925,UK-born,60
69865929,missing,60
69865933,UK-born,24
69865937,missing,20
69865941,missing,18
69869325,UK-born,63
69869329,UK-born,63
69869333,UK-born,37
69898660,UK-born,40
69907407,Migrant,44
69907411,Migrant,58
69907415,UK-born,23
69908767,Migrant,61
69909457,UK-born,38
69912165,UK-born,55
69912169,UK-born,62
69912173,UK-born,29
69912177,UK-born,27
69955687,Migrant,50
69955691,Migrant,51
69955695,missing,18
70003969,UK-born,49
70032535,UK-born,43
70033205,UK-born,58
70033209,UK-born,58
70033213,UK-born,28
70033217,UK-born,26
70033221,missing,21
70035931,Migrant,55
70035935,missing,18
70041365,UK-born,58
70041369,UK-born,60
70041373,UK-born,27
70041377,UK-born,22
70058371,Migrant,56
70069925,UK-born,47
70069929,UK-born,24
70076047,UK-born,47
70076051,UK-born,29
70076055,missing,22
70116167,UK-born,54
70116171,UK-born,60
70116175,missing,19
70116179,UK-born,22
70128524,UK-born,32
70140647,Migrant,41
70140655,Migrant,49
70140667,UK-born,21
70140671,missing,18
70154245,UK-born,56
70154249,UK-born,56
70154253,UK-born,26
70154257,UK-born,23
70189692,missing,36
70190376,UK-born,60
70195113,UK-born,41
70204569,UK-born,60
70207285,UK-born,57
70207289,UK-born,60
70207293,UK-born,23
70207297,missing,21
70212725,UK-born,64
70227689,UK-born,38
70231773,UK-born,21
70278184,UK-born,38
70323565,missing,59
70342607,UK-born,63
70364365,UK-born,62
70364369,UK-born,61
70364373,missing,25
70364377,UK-born,23
70414689,UK-born,59
70414697,UK-born,30
70420896,UK-born,27
70441966,UK-born,38
70449365,UK-born,62
70449373,UK-born,32
70449377,UK-born,29
70449381,UK-born,27
70484725,UK-born,52
70484729,UK-born,59
70484733,missing,20
70484737,missing,18
70510565,UK-born,45
70510569,UK-born,49
70510573,missing,22
70536504,UK-born,64
70543211,UK-born,27
70543982,UK-born,40
70597736,UK-born,23
70625485,UK-born,55
70625489,UK-born,37
70625493,UK-born,55
70639085,UK-born,63
70639089,UK-born,61
70639093,UK-born,36
70639769,UK-born,60
70639773,UK-born,26
70639777,UK-born,23
70679982,UK-born,27
70700965,UK-born,56
70700969,UK-born,54
70700973,UK-born,27
70700977,UK-born,26
70705725,UK-born,46
70705729,UK-born,53
70705733,missing,21
70718645,UK-born,52
70718649,UK-born,26
70718653,missing,17
70740492,UK-born,39
70747372,UK-born,35
70765565,UK-born,50
70765569,UK-born,53
70765573,UK-born,21
70765577,missing,19
70779845,UK-born,59
70779853,missing,60
70786645,UK-born,64
70786653,UK-born,63
70788224,missing,60
70800929,UK-born,46
70800933,UK-born,22
70801688,UK-born,36
70834245,UK-born,47
70834249,UK-born,49
70834253,missing,19
70834257,missing,18
70863022,missing,39
70863582,UK-born,30
70869696,missing,36
70876405,UK-born,59
70894765,UK-born,47
70896982,UK-born,49
71013085,Migrant,47
71013089,UK-born,59
71013093,missing,19
71019885,UK-born,52
71019889,UK-born,42
71019893,missing,18
71026104,missing,40
71034845,UK-born,50
71034849,UK-born,62
71034853,UK-born,27
71080542,missing,32
71114405,UK-born,52
71114409,UK-born,48
71114413,missing,18
71123245,UK-born,55
71148405,UK-born,60
71148409,missing,58
71148413,UK-born,28
71176965,UK-born,62
71176969,UK-born,28
71176973,UK-born,25
71182405,UK-born,58
71182409,UK-born,56
71182504,UK-born,33
71196090,UK-born,37
71206205,UK-born,47
71206209,UK-born,46
71206213,missing,19
71209704,missing,36
71209744,UK-born,22
71230685,UK-born,63
71257298,Migrant,29
71285085,UK-born,54
71285089,UK-born,32
71285093,UK-born,30
71285097,UK-born,22
71293249,UK-born,45
71300053,UK-born,39
71304966,UK-born,43
71305006,missing,18
71325342,missing,47
71328605,UK-born,48
71338976,UK-born,51
71356485,UK-born,44
71363285,UK-born,61
71413736,UK-born,27
71434005,UK-born,49
71434009,UK-born,50
71434013,missing,28
71434017,UK-born,26
71461209,UK-born,36
71504045,UK-born,50
71504049,UK-born,47
71504057,missing,17
71516374,UK-born,36
71570768,UK-born,42
71580209,UK-born,34
71583744,missing,44
71583762,missing,16
71614885,UK-born,44
71614889,missing,45
71644125,UK-born,37
71672130,Migrant,50
71684925,UK-born,58
71723005,UK-born,47
71723009,UK-born,44
71723013,UK-born,26
71723017,UK-born,23
71725725,UK-born,47
71741369,UK-born,42
71742045,UK-born,57
71742049,UK-born,60
71742053,missing,20
71742057,missing,17
71781570,UK-born,46
71808685,UK-born,64
71821696,UK-born,53
71829085,UK-born,55
71837245,UK-born,58
71837249,UK-born,57
71837253,UK-born,21
71837257,missing,18
71869292,UK-born,53
71948085,UK-born,43
71948089,UK-born,46
71958965,UK-born,55
71958969,UK-born,57
71958973,UK-born,23
71958977,missing,18
71996365,UK-born,39
72002485,UK-born,59
72002489,UK-born,61
72012094,Migrant,44
72059696,UK-born,44
72155130,UK-born,34
72256890,Migrant,38
72379304,missing,28
72447304,UK-born,28
72467698,missing,21
72488808,Migrant,39
72570376,UK-born,38
72617384,missing,19
72637864,UK-born,27
72651576,missing,32
72671724,UK-born,58
72699062,UK-born,38
72712544,UK-born,55
72726088,UK-born,60
72787982,missing,24
72814524,missing,16
72862202,missing,16
72882538,UK-born,45
72890664,UK-born,27
72970902,UK-born,35
73072904,UK-born,31
73120502,UK-born,42
73174888,UK-born,41
73174890,UK-born,40
73189172,UK-born,36
73195338,UK-born,52
73324730,UK-born,33
73338104,UK-born,30
73338122,Migrant,60
73385744,missing,21
73542122,missing,16
73542162,missing,16
73548982,missing,16
73562584,UK-born,34
73712102,UK-born,61
73752936,UK-born,53
73766562,missing,16
73834484,UK-born,59
73882100,Migrant,34
73902584,UK-born,26
73997888,Migrant,40
74011294,UK-born,36
74018130,UK-born,43
74133762,missing,16
74175864,UK-born,27
74181338,UK-born,55
74181972,UK-born,41
74236384,UK-born,32
74344492,UK-born,47
74345162,UK-born,54
74434944,missing,37
74439860,UK-born,42
74439940,missing,18
74473772,UK-born,33
74670982,UK-born,32
74691982,UK-born,34
74725336,UK-born,40
75024528,UK-born,43
75133402,missing,18
75180964,missing,16
75181004,missing,16
75330500,Migrant,51
75392368,UK-born,33
75493696,UK-born,57
75602562,missing,16
75602686,Migrant,39
75629884,Migrant,40
75970414,UK-born,50
76119288,UK-born,61
76174374,UK-born,33
76316486,UK-born,40
76506896,UK-born,33
76527966,UK-born,37
76738764,UK-born,43
76807454,UK-born,46
77031164,UK-born,39
77343286,UK-born,37
77656126,UK-born,62
77771688,UK-born,47
78084646,missing,16
78859684,UK-born,54
78901164,UK-born,43
79220086,UK-born,49
79424766,UK-born,42
79724014,UK-born,61
79724094,UK-born,31
79743804,UK-born,49
81651685,UK-born,61
81651693,UK-born,36
81651697,UK-born,34
81651701,UK-born,31
81713565,UK-born,61
81713569,UK-born,56
81713577,UK-born,26
81717653,UK-born,37
81717657,UK-born,32
81759805,UK-born,62
81759809,UK-born,64
81759817,UK-born,37
81893765,missing,61
81923685,UK-born,60
81958365,UK-born,62
81958369,UK-born,54
81958373,UK-born,27
81958377,missing,19
81959725,UK-born,57
81959729,UK-born,58
82013445,UK-born,54
82013449,UK-born,57
82013453,missing,21
82013457,missing,21
82016849,UK-born,45
82067849,UK-born,59
82116805,missing,60
82116809,UK-born,59
82116813,UK-born,28
82116817,missing,24
82171885,UK-born,58
82171889,UK-born,26
82195685,UK-born,57
82195689,UK-born,56
82195693,UK-born,31
82195697,UK-born,28
82213365,UK-born,54
82213373,missing,27
82213377,missing,22
82214725,UK-born,51
82214737,UK-born,23
82214741,missing,19
82214745,missing,17
82249409,UK-born,64
82249417,UK-born,37
82290205,UK-born,56
82290209,UK-born,51
82290213,UK-born,24
82290217,missing,20
82290221,missing,17
82295645,UK-born,58
82295653,UK-born,35
82295657,UK-born,29
82309925,UK-born,52
82309929,UK-born,51
82309933,UK-born,22
82309937,missing,20
82314009,UK-born,28
82341205,UK-born,60
82341209,UK-born,32
82341213,UK-born,30
88450325,UK-born,57
88543489,missing,58
88548257,UK-born,35
88681525,UK-born,63
88681537,UK-born,34
88785573,UK-born,39
88857645,UK-born,63
88899129,Migrant,51
88916805,UK-born,49
88916809,UK-born,48
88916813,missing,20
88928365,UK-born,61
89001805,UK-born,60
89001809,UK-born,64
89001813,UK-born,36
89001817,missing,33
89015405,UK-born,54
89030365,UK-born,61
89030377,UK-born,34
89030381,missing,33
89037173,UK-born,27
89052805,UK-born,48
89095645,UK-born,46
89124205,UK-born,61
89124209,missing,61
89124213,UK-born,28
89124217,UK-born,26
89129661,UK-born,28
89129665,UK-born,24
89131685,UK-born,57
89131693,missing,19
89148689,UK-born,32
89153445,UK-born,62
89153453,UK-born,20
89212605,UK-born,60
89222805,UK-born,44
89222809,missing,18
89271765,UK-born,55
89271769,UK-born,51
89271773,UK-born,27
89271777,UK-born,25
89272445,UK-born,38
89300325,UK-born,54
89300329,UK-born,61
89300333,missing,20
89303725,UK-born,39
89303729,missing,42
89355405,UK-born,57
89355409,UK-born,57
89355413,missing,18
89358125,UK-born,62
89358129,UK-born,60
89371045,UK-born,55
89371049,UK-born,53
89371053,missing,18
89381245,UK-born,52
89392125,UK-born,49
89392129,UK-born,50
89413885,UK-born,47
95252373,UK-born,47
95278885,UK-born,42
95278889,missing,49
95278893,missing,17
95286365,UK-born,47
95286369,UK-born,45
95286373,UK-born,26
95286377,missing,20
95416925,UK-born,50
95416933,missing,18
95433925,UK-born,60
95433929,UK-born,59
95433937,UK-born,25
95555645,UK-born,47
95555649,UK-born,50
95555653,missing,19
95575365,UK-born,50
95575369,missing,53
95654245,UK-born,56
95654249,UK-born,51
95654253,UK-born,25
95654257,missing,22
95673285,UK-born,57
95673289,UK-born,55
95673293,UK-born,21
95673297,missing,18
95680773,missing,37
95680785,UK-born,32
95740605,UK-born,55
95740609,UK-born,58
95740613,UK-born,25
95740617,UK-born,22
95750805,UK-born,51
95750809,UK-born,50
95750813,UK-born,23
95756941,missing,35
95972485,UK-born,58
95986089,missing,33
96029605,missing,56
96029609,UK-born,57
96051365,UK-born,55
96051369,missing,33
96051373,UK-born,31
96051377,UK-born,24
96088765,missing,63
96088769,missing,60
96088773,missing,41
96088777,missing,35
96115289,UK-born,63
96125485,UK-born,63
96130933,UK-born,42
96130937,UK-born,40
96130941,missing,38
96130945,missing,35
96139085,UK-born,40
96139089,UK-born,44
96160165,UK-born,54
96160169,UK-born,31
96160173,UK-born,30
96160177,UK-born,25
96160181,missing,17
96198925,UK-born,41
96198929,Migrant,41
96208445,Migrant,62
96208449,Migrant,61
102436002,missing,16
102918122,missing,16
103496202,missing,16
103550562,missing,18
103679762,missing,16
103788562,UK-born,46
103795402,missing,16
103863282,UK-born,52
103863322,missing,16
103978962,missing,16
104013002,missing,16
104087802,missing,16
104230522,missing,16
104386922,missing,16
104414122,missing,16
105447762,missing,17
105610882,UK-born,57
105658562,missing,16
105828562,missing,16
108908962,missing,17
136003407,UK-born,53
136003411,UK-born,27
136003415,missing,25
136006968,UK-born,53
136013607,UK-born,52
136013611,UK-born,54
136013615,UK-born,23
136013619,UK-born,25
136015655,UK-born,46
136017687,UK-born,52
136018371,UK-born,57
136018375,missing,31
136018379,UK-born,28
136018383,UK-born,26
136019727,UK-born,59
136020407,UK-born,57
136020411,UK-born,61
136020415,missing,20
136020419,missing,19
136023127,UK-born,55
136023131,UK-born,45
136023135,UK-born,25
136023139,UK-born,22
136025167,UK-born,52
136025171,UK-born,58
136025175,UK-born,28
136027887,UK-born,47
136027891,UK-born,40
136031967,UK-born,64
136036727,UK-born,44
136036731,UK-born,45
136036735,missing,18
136041487,UK-born,44
136041491,missing,20
136050327,UK-born,41
136050331,UK-born,40
136066647,UK-born,47
